,mse,val_loss,lookback
0,0.033507395535707474,0.024364596232771873,20
1,0.032455746084451675,0.023320302367210388,20
2,0.032027315348386765,0.029699765145778656,20
3,0.0325835682451725,0.02375219576060772,20
4,0.03362782299518585,0.02712259441614151,20
5,0.033068012446165085,0.025943834334611893,20
6,0.03256385028362274,0.024686358869075775,20
7,0.03233879432082176,0.023729488253593445,20
8,0.03422100841999054,0.025149034336209297,20
9,0.03340352699160576,0.024299930781126022,20
10,0.03325071185827255,0.023779679089784622,20
11,0.03359462320804596,0.02481737919151783,20
12,0.034596264362335205,0.02495112456381321,20
13,0.03438621386885643,0.023874033242464066,20
14,0.03283809870481491,0.02347460202872753,20
15,0.03263847902417183,0.02621432952582836,20
16,0.031592197716236115,0.022280246019363403,20
17,0.03236556425690651,0.02440318837761879,20
18,0.03166310489177704,0.02108105830848217,20
19,0.030879750847816467,0.02227122336626053,20
20,0.032160110771656036,0.02339642494916916,20
21,0.03161869943141937,0.02220941334962845,20
22,0.031648650765419006,0.021758688613772392,20
23,0.03099464811384678,0.021159321069717407,20
24,0.033683475106954575,0.025450216606259346,20
25,0.03364447504281998,0.023996690288186073,20
26,0.03226455673575401,0.022060224786400795,20
27,0.03063928335905075,0.023963522166013718,20
28,0.03498975932598114,0.02461644634604454,20
29,0.034215256571769714,0.02243736758828163,20
30,0.03295593336224556,0.022272402420639992,20
31,0.03275954723358154,0.023538749665021896,20
32,0.02783576399087906,0.020965032279491425,20
33,0.0274166539311409,0.021639186888933182,20
34,0.027809135615825653,0.02053224854171276,20
35,0.027073252946138382,0.020016497001051903,20
36,0.0290306955575943,0.02193566784262657,20
37,0.02829727716743946,0.021063486114144325,20
38,0.027927417308092117,0.021054789423942566,20
39,0.02675386518239975,0.02033873274922371,20
40,0.028561832383275032,0.02200334519147873,20
41,0.027950268238782883,0.02133672684431076,20
42,0.02846776507794857,0.020110242068767548,20
43,0.026834603399038315,0.02044215239584446,20
44,0.028987325727939606,0.021404827013611794,20
45,0.028273558244109154,0.02168586105108261,20
46,0.027646876871585846,0.022928275167942047,20
47,0.027885667979717255,0.02138829231262207,20
48,0.026232043281197548,0.02047312632203102,20
49,0.026375427842140198,0.019942209124565125,20
50,0.02531627006828785,0.020410416647791862,20
51,0.025754155591130257,0.02086217887699604,20
52,0.02660660445690155,0.019872786477208138,20
53,0.025785095989704132,0.018753085285425186,20
54,0.026369202882051468,0.02089107222855091,20
55,0.0254198107868433,0.018587680533528328,20
56,0.026624273508787155,0.019822407513856888,20
57,0.0267533790320158,0.020841576159000397,20
58,0.02646462805569172,0.018766243010759354,20
59,0.025839194655418396,0.019156934693455696,20
60,0.02655712328851223,0.019727494567632675,20
61,0.02597915381193161,0.020458916202187538,20
62,0.02637055143713951,0.02018355391919613,20
63,0.025693506002426147,0.01969466730952263,20
