,mse,val_loss,lookback
0,0.00542868860065937,0.016684195026755333,20
1,0.005588147323578596,0.02138493023812771,20
2,0.005919346585869789,0.022641045972704887,20
3,0.005444482434540987,0.016351774334907532,20
4,0.005209204740822315,0.015274301171302795,20
5,0.005682014394551516,0.017380155622959137,20
6,0.005409030709415674,0.015727370977401733,20
7,0.005299000535160303,0.016120633110404015,20
8,0.005589511711150408,0.017100514844059944,20
9,0.005504924803972244,0.017597848549485207,20
10,0.005323344375938177,0.016311073675751686,20
11,0.0057893842458724976,0.0194715466350317,20
12,0.00553118996322155,0.016894957050681114,20
13,0.005446597468107939,0.01896616257727146,20
14,0.005793248303234577,0.01846986450254917,20
15,0.005586584098637104,0.017827948555350304,20
16,0.005488561000674963,0.01723131164908409,20
17,0.00588584691286087,0.01740393228828907,20
18,0.005506457295268774,0.017406469210982323,20
19,0.005359680857509375,0.017138632014393806,20
20,0.005560664925724268,0.02089826576411724,20
21,0.005657948087900877,0.014598019421100616,20
22,0.005448202136904001,0.017454903572797775,20
23,0.005599739961326122,0.0165623240172863,20
24,0.005383262410759926,0.01501875463873148,20
25,0.0053411521948874,0.018227336928248405,20
26,0.005554465111345053,0.014498799107968807,20
27,0.0055997432209551334,0.016531329602003098,20
28,0.005679483059793711,0.020188193768262863,20
29,0.005909784696996212,0.018973004072904587,20
30,0.0055556148290634155,0.01601414382457733,20
31,0.005484140012413263,0.014992943033576012,20
32,0.005851950962096453,0.022225672379136086,20
33,0.005412687081843615,0.01589931547641754,20
34,0.0055669695138931274,0.01708364672958851,20
35,0.005897762719541788,0.02212398499250412,20
