,ypred_lstm,ytest
2023-07-07 08:00:00+01:00,0.9695917963981628,0.874633746786275
2023-07-07 12:00:00+01:00,1.1546636819839478,1.50200426053275
2023-07-07 16:00:00+01:00,1.1542104482650757,1.1194254997613176
2023-07-07 20:00:00+01:00,1.0412662029266357,0.9305867463954999
2023-07-08 00:00:00+01:00,0.9802043437957764,0.8446496752432799
2023-07-08 04:00:00+01:00,0.9335938096046448,0.755624824189725
2023-07-08 08:00:00+01:00,0.6414847373962402,0.75996578100293
2023-07-08 12:00:00+01:00,0.8189114332199097,0.762358874082565
2023-07-08 16:00:00+01:00,0.8239094018936157,0.7201690673828149
2023-07-08 20:00:00+01:00,0.761162281036377,0.7013166981214675
2023-07-09 00:00:00+01:00,0.7702534794807434,0.6976102265229225
2023-07-09 04:00:00+01:00,0.718389630317688,0.6667174920197375
2023-07-09 08:00:00+01:00,0.5051898956298828,0.6714001595973951
2023-07-09 12:00:00+01:00,0.6925939321517944,0.6982075574189874
2023-07-09 16:00:00+01:00,0.7014155387878418,0.6541862078787198
2023-07-09 20:00:00+01:00,0.6483516693115234,0.643881097987475
2023-07-10 00:00:00+01:00,0.6484876871109009,0.6334768818680875
2023-07-10 04:00:00+01:00,0.6134434342384338,0.61489540417448
2023-07-10 08:00:00+01:00,0.547435462474823,0.6370051870482775
2023-07-10 12:00:00+01:00,0.7466886639595032,1.2752345289658749
2023-07-10 16:00:00+01:00,0.7628157138824463,1.0319260480856525
2023-07-10 20:00:00+01:00,0.7077442407608032,0.87613091933248
2023-07-11 00:00:00+01:00,0.6864989399909973,0.7497664819874025
2023-07-11 04:00:00+01:00,0.6300121545791626,0.60776918711994
2023-07-11 08:00:00+01:00,0.6929931044578552,0.6085338150824324
2023-07-11 12:00:00+01:00,1.0259356498718262,1.1899712551595325
2023-07-11 16:00:00+01:00,1.0509437322616577,1.0127922165677474
2023-07-11 20:00:00+01:00,1.0532007217407227,0.844621819518435
2023-07-12 00:00:00+01:00,1.0075666904449463,0.7916456166194
2023-07-12 04:00:00+01:00,0.9271080493927002,0.6256073781050651
2023-07-12 08:00:00+01:00,1.9804818630218506,1.1412168171555024
2023-07-12 12:00:00+01:00,2.3317952156066895,1.567794039603875
2023-07-12 16:00:00+01:00,2.49044132232666,1.3871168090627002
2023-07-12 20:00:00+01:00,2.5622012615203857,4.0278564985662255
2023-07-13 00:00:00+01:00,2.38815975189209,4.1999998092651
2023-07-13 04:00:00+01:00,2.217121124267578,3.2296208545844
2023-07-13 08:00:00+01:00,2.9663846492767334,3.637445603653375
2023-07-13 12:00:00+01:00,2.982529878616333,3.2206419327934004
2023-07-13 16:00:00+01:00,2.9912683963775635,1.999293999643825
2023-07-13 20:00:00+01:00,2.915837526321411,1.5882132903980248
2023-07-14 00:00:00+01:00,2.500925302505493,1.30484655600885
2023-07-14 04:00:00+01:00,2.4701452255249023,1.13155512348495
2023-07-14 08:00:00+01:00,1.4242883920669556,1.2068721692398001
2023-07-14 12:00:00+01:00,1.5077751874923706,1.7515929154206
2023-07-14 16:00:00+01:00,1.3342437744140625,1.2721691982516
2023-07-14 20:00:00+01:00,1.1864831447601318,1.0606612110001499
2023-07-15 00:00:00+01:00,0.9786326289176941,0.8890616843365525
2023-07-15 04:00:00+01:00,1.036054253578186,0.83495593477417
2023-07-15 08:00:00+01:00,0.7899928092956543,0.82249986263093
2023-07-15 12:00:00+01:00,1.018841028213501,0.7915671990616799
2023-07-15 16:00:00+01:00,1.0249701738357544,0.7288630110373675
2023-07-15 20:00:00+01:00,0.8856353163719177,0.7031235603241075
2023-07-16 00:00:00+01:00,0.8620525598526001,0.6928641277804299
2023-07-16 04:00:00+01:00,0.8198122382164001,0.8399563935345475
2023-07-16 08:00:00+01:00,0.8038048148155212,0.8057381863720375
2023-07-16 12:00:00+01:00,1.0385347604751587,0.7504769265651701
2023-07-16 16:00:00+01:00,1.0883591175079346,0.6897953511836175
2023-07-16 20:00:00+01:00,1.0585097074508667,0.6568755179587075
2023-07-17 00:00:00+01:00,1.064382791519165,0.6318567700530524
2023-07-17 04:00:00+01:00,1.0217628479003906,0.9025168710847875
2023-07-17 08:00:00+01:00,0.9568381905555725,1.1843854037144
2023-07-17 12:00:00+01:00,1.2014129161834717,1.639701153238725
2023-07-17 16:00:00+01:00,1.22947096824646,1.104668946407715
2023-07-17 20:00:00+01:00,1.1132773160934448,0.7714128700457374
2023-07-18 00:00:00+01:00,1.053023099899292,0.6702427489772175
2023-07-18 04:00:00+01:00,1.0122509002685547,0.6155369333966074
2023-07-18 08:00:00+01:00,0.6989203095436096,0.616358799667245
2023-07-18 12:00:00+01:00,0.9055063724517822,1.231885929885475
2023-07-18 16:00:00+01:00,0.9168941974639893,0.9937827865600874
2023-07-18 20:00:00+01:00,0.8694582581520081,0.6636304345963651
2023-07-19 00:00:00+01:00,0.8525920510292053,0.61867244217676
2023-07-19 04:00:00+01:00,0.8294804096221924,0.6457207148795625
2023-07-19 08:00:00+01:00,0.7247577905654907,0.661296251574415
2023-07-19 12:00:00+01:00,0.9304519891738892,1.2776717678368499
2023-07-19 16:00:00+01:00,0.9479178190231323,1.02324542657254
2023-07-19 20:00:00+01:00,0.902424693107605,0.80768398739529
2023-07-20 00:00:00+01:00,0.8733422756195068,0.72097380317442
2023-07-20 04:00:00+01:00,0.8765655755996704,0.63678870206474
2023-07-20 08:00:00+01:00,0.6742478609085083,0.6197081589676725
2023-07-20 12:00:00+01:00,0.8566561937332153,1.233761391778
2023-07-20 16:00:00+01:00,0.8501141667366028,0.98486190462887
