,ypred_svr,ytest_svr
2023-07-11 04:00:00+01:00,0.8838930467933989,0.6085338150824324
2023-07-11 08:00:00+01:00,0.8664137320475382,1.1899712551595325
2023-07-11 12:00:00+01:00,0.851057033027126,1.0127922165677474
2023-07-11 16:00:00+01:00,0.9216340874232297,0.844621819518435
2023-07-11 20:00:00+01:00,1.0787830047251432,0.7916456166194
2023-07-12 00:00:00+01:00,1.6314547541754656,0.6256073781050651
2023-07-12 04:00:00+01:00,1.5277962951369584,1.1412168171555024
2023-07-12 08:00:00+01:00,1.7839054077318246,1.567794039603875
2023-07-12 12:00:00+01:00,1.6882572936626095,1.3871168090627002
2023-07-12 16:00:00+01:00,1.856551100909347,4.0278564985662255
2023-07-12 20:00:00+01:00,2.5173610327862876,4.1999998092651
2023-07-13 00:00:00+01:00,3.5040872062629793,3.2296208545844
2023-07-13 04:00:00+01:00,3.1576111311662394,3.637445603653375
2023-07-13 08:00:00+01:00,2.9750154876443307,3.2206419327934004
2023-07-13 12:00:00+01:00,2.902969414233748,1.999293999643825
2023-07-13 16:00:00+01:00,2.8225083479690123,1.5882132903980248
2023-07-13 20:00:00+01:00,2.8457831383507495,1.30484655600885
2023-07-14 00:00:00+01:00,1.3937550422807516,1.13155512348495
2023-07-14 04:00:00+01:00,1.3052128353002188,1.2068721692398001
2023-07-14 08:00:00+01:00,1.3821559549644336,1.7515929154206
2023-07-14 12:00:00+01:00,1.3596138633892378,1.2721691982516
2023-07-14 16:00:00+01:00,1.3225753284925879,1.0606612110001499
2023-07-14 20:00:00+01:00,1.41916529730433,0.8890616843365525
2023-07-15 00:00:00+01:00,1.0225955172932717,0.83495593477417
2023-07-15 04:00:00+01:00,0.8409481853784115,0.82249986263093
2023-07-15 08:00:00+01:00,0.9039570729917237,0.7915671990616799
2023-07-15 12:00:00+01:00,0.8877570595641522,0.7288630110373675
2023-07-15 16:00:00+01:00,0.9639965082329586,0.7031235603241075
2023-07-15 20:00:00+01:00,1.052318969576468,0.6928641277804299
2023-07-16 00:00:00+01:00,0.9935161745013255,0.8399563935345475
2023-07-16 04:00:00+01:00,0.9306466770094611,0.8057381863720375
2023-07-16 08:00:00+01:00,0.9454940017042064,0.7504769265651701
2023-07-16 12:00:00+01:00,0.846545486180275,0.6897953511836175
2023-07-16 16:00:00+01:00,0.8797127119217881,0.6568755179587075
2023-07-16 20:00:00+01:00,0.9539353204723543,0.6318567700530524
2023-07-17 00:00:00+01:00,1.258674743357987,0.9025168710847875
2023-07-17 04:00:00+01:00,1.3114467673750159,1.1843854037144
2023-07-17 08:00:00+01:00,1.2518300878155915,1.639701153238725
2023-07-17 12:00:00+01:00,1.1005840462661705,1.104668946407715
2023-07-17 16:00:00+01:00,1.0920614267154178,0.7714128700457374
2023-07-17 20:00:00+01:00,1.1817724851276656,0.6702427489772175
2023-07-18 00:00:00+01:00,1.0089722138036206,0.6155369333966074
2023-07-18 04:00:00+01:00,0.8400076813475675,0.616358799667245
2023-07-18 08:00:00+01:00,0.9239460518276239,1.231885929885475
2023-07-18 12:00:00+01:00,0.9111620330954019,0.9937827865600874
2023-07-18 16:00:00+01:00,0.9947939615242192,0.6636304345963651
2023-07-18 20:00:00+01:00,1.0348087077958055,0.61867244217676
2023-07-19 00:00:00+01:00,1.0726728061646496,0.6457207148795625
2023-07-19 04:00:00+01:00,0.9076204292941374,0.661296251574415
2023-07-19 08:00:00+01:00,0.9431939317515573,1.2776717678368499
2023-07-19 12:00:00+01:00,0.9395391586638673,1.02324542657254
2023-07-19 16:00:00+01:00,1.0368568799643751,0.80768398739529
2023-07-19 20:00:00+01:00,1.0644041280344112,0.72097380317442
2023-07-20 00:00:00+01:00,1.0288620317289365,0.63678870206474
2023-07-20 04:00:00+01:00,0.8472413780310801,0.6197081589676725
2023-07-20 08:00:00+01:00,0.9338692894910622,1.233761391778
2023-07-20 12:00:00+01:00,0.9351169351093919,0.98486190462887
2023-07-20 16:00:00+01:00,0.9170550894835384,0.6306174833366126
2023-07-20 20:00:00+01:00,1.002277442232022,0.57767457536263
2023-07-21 00:00:00+01:00,1.0445103054976994,0.5459835920743
2023-07-21 04:00:00+01:00,0.8847227555612286,0.593307897863205
2023-07-21 08:00:00+01:00,1.1394803352561595,1.424322773732125
2023-07-21 12:00:00+01:00,1.1750796303244007,1.0990146922057824
2023-07-21 16:00:00+01:00,1.0258626658132035,0.9427462576703175
2023-07-21 20:00:00+01:00,1.146023084688635,1.22506105986468
2023-07-22 00:00:00+01:00,1.3445101061827185,1.60966139920995
2023-07-22 04:00:00+01:00,1.3771998138965529,1.170674745798775
2023-07-22 08:00:00+01:00,1.3265502353250607,1.020690194192905
2023-07-22 12:00:00+01:00,1.1879874374789048,0.905312659303395
2023-07-22 16:00:00+01:00,1.1852355151813756,0.8431271242232274
2023-07-22 20:00:00+01:00,1.2599136853710973,0.7715351067592975
2023-07-23 00:00:00+01:00,0.8956689747862706,0.69329785707434
2023-07-23 04:00:00+01:00,0.7256723871777275,0.6609125760361501
2023-07-23 08:00:00+01:00,0.79804026844542,0.6527085900306675
2023-07-23 12:00:00+01:00,0.7940185267044917,0.6204268872530401
2023-07-23 16:00:00+01:00,0.804326051459204,0.598569963274065
2023-07-23 20:00:00+01:00,0.9072707949466086,0.576531296297255
2023-07-24 00:00:00+01:00,1.130131557921807,0.5510269382591425
2023-07-24 04:00:00+01:00,0.9557905903416445,0.5716881551717174
2023-07-24 08:00:00+01:00,1.0641948560808838,1.14709462445913
2023-07-24 12:00:00+01:00,1.0718470927609547,1.0986466447420251
