,base_lag0,base_1d_lag0,temp_1h_lag0,temp_1h_lag1,glob_1h_lag1,glob_1h_lag2,glob_1h_lag3,rain_1h_lag0,rain_1h_lag1,bf15_1h_lag0,schmelz_1h_lag0,schmelz_1h_lag1,rain_1h_prog_lag-6,glob_1h_prog_lag-6,temp_1h_prog_lag-6,yearday_sin,yearday_cos
2021-03-02 00:00:00+01:00,1.5751181493141075,1.616137588723,3.4854175,3.0562500000000004,0.0,67.56458333333332,471.766666666667,0.0,0.0,1.1268,0.05625,0.054175,0.0,0.0,11.43,0.8674563547295969,0.49751328890718066
2021-03-02 04:00:00+01:00,1.4251772746634326,1.616137588723,3.6874975,3.4854175,0.0,0.0,67.56458333333332,0.0,0.0,1.123125,0.06835,0.05625,0.0,0.0,11.43,0.8688801653355764,0.4950224826070239
2021-03-02 08:00:00+01:00,1.2753151121352175,1.616137588723,6.2291675,3.6874975,7.622916666666675,0.0,0.0,0.0,0.0,1.124425,0.086225,0.06835,0.0,0.0,11.43,0.8702968238824902,0.4925276016022349
2021-03-02 12:00:00+01:00,1.767134475750325,1.616137588723,10.293767500000001,6.2291675,372.3791666666665,7.622916666666675,0.0,0.0,0.0,1.112425,0.0979,0.086225,0.0,0.0,11.43,0.8717063187093218,0.4900286664290593
2021-03-02 16:00:00+01:00,1.8328190935534625,1.616137588723,7.9583325,10.293767500000001,492.5625,372.3791666666665,7.622916666666675,0.0,0.0,1.10395,0.080825,0.0979,0.0,0.0,11.43,0.8731086382140225,0.4875256976571134
2021-03-02 20:00:00+01:00,1.821261426921435,1.616137588723,6.3541675,7.9583325,74.54374999999993,492.5625,372.3791666666665,0.0,0.0,1.101,0.08295,0.080825,0.0,0.0,11.43,0.8745037708536059,0.485018715889216
2021-03-03 00:00:00+01:00,1.4173344486486374,1.44327866444756,5.5291675,6.3541675,0.0,74.54374999999993,492.5625,0.0,0.0,1.097625,0.077925,0.08295,0.0,0.0,11.43,0.8758917051442429,0.48250774176121847
2021-03-03 04:00:00+01:00,1.269907177499755,1.44327866444756,5.20625,5.5291675,0.0,0.0,74.54374999999993,0.0,0.0,1.09435,0.085025,0.077925,0.0,0.0,11.43,0.8772724296613572,0.47999279594183386
2021-03-03 08:00:00+01:00,1.1652823760622426,1.44327866444756,6.75625,5.20625,8.825,0.0,0.0,0.0,0.0,1.092,0.12415000000000001,0.085025,0.0,0.0,11.43,0.8786459330397184,0.4774738991324685
2021-03-03 12:00:00+01:00,1.6158765543306575,1.44327866444756,8.8375,6.75625,151.8479166666665,8.825,0.0,0.0,0.0,1.0813,0.1446,0.12415000000000001,0.0,0.0,11.43,0.8800122039735355,0.47495107206705045
2021-03-03 16:00:00+01:00,1.6448356888875124,1.44327866444756,6.69375,8.8375,142.93750000000006,151.8479166666665,8.825,0.0,0.0,1.07415,0.08,0.1446,0.0,0.0,11.43,0.881371231216551,0.4724243355118584
2021-03-03 20:00:00+01:00,1.5464357412565475,1.44327866444756,5.6270825,6.69375,73.50208333333325,142.93750000000006,151.8479166666665,0.0,0.0,1.07395,0.056675,0.08,0.0,0.0,11.43,0.882723003582132,0.4698937102653529
2021-03-04 00:00:00+01:00,1.11261625269457,1.09955078854729,5.1375025,5.6270825,0.0,73.50208333333325,142.93750000000006,0.0004166666666666675,0.0,1.06535,0.06875,0.056675,0.0,0.0,11.43,0.8840675099433636,0.4673592171580022
2021-03-04 04:00:00+01:00,0.9349747718809982,1.09955078854729,4.7520825,5.1375025,0.0,0.0,73.50208333333325,0.07541666666666674,0.0004166666666666675,1.0587499999999999,0.057525,0.06875,0.0,0.0,11.43,0.8854047392331398,0.4648208770521131
2021-03-04 08:00:00+01:00,0.9227092823654353,1.09955078854729,6.7020824999999995,4.7520825,4.320833333333325,0.0,0.0,0.035,0.07541666666666674,1.0525,0.08877499999999999,0.057525,0.0,0.0,11.43,0.8867346804442547,0.46227871084165817
2021-03-04 12:00:00+01:00,1.1361238861824643,1.09955078854729,8.5187475,6.7020824999999995,271.56458333333325,4.320833333333325,0.0,0.29541666666666666,0.035,1.045625,0.07165,0.08877499999999999,0.0,0.0,11.43,0.8880573226294931,0.45973273945210424
2021-03-04 16:00:00+01:00,1.2151661447596,1.09955078854729,6.2645824999999995,8.5187475,249.4125,271.56458333333325,4.320833333333325,0.036250000000000025,0.29541666666666666,1.040675,0.017925,0.07165,0.0,0.0,11.43,0.8893726549017209,0.4571829838402393
2021-03-04 20:00:00+01:00,1.2757143934006674,1.09955078854729,3.054165,6.2645824999999995,20.33958333333335,249.4125,271.56458333333325,0.8049999999999989,0.036250000000000025,1.04265,0.0012749999999999999,0.017925,0.0,0.0,11.43,0.8906806664339741,0.4546294649940012
2021-03-05 00:00:00+01:00,1.730283481276465,2.15331569618398,2.1812525,3.054165,0.0,20.33958333333335,249.4125,0.38875000000000026,0.8049999999999989,1.0423499999999999,0.00085,0.0012749999999999999,0.0,0.0,11.43,0.8919813464595485,0.45207220393230435
2021-03-05 04:00:00+01:00,2.0496593851383498,2.15331569618398,1.839585,2.1812525,0.0,0.0,20.33958333333335,0.0654166666666666,0.38875000000000026,1.046675,0.0,0.00085,0.0,0.0,11.43,0.8932746842720883,0.4495112217048657
2021-03-05 08:00:00+01:00,2.08193125629695,2.15331569618398,0.7979165,1.839585,1.2041666666666675,0.0,0.0,0.19625,0.0654166666666666,1.06085,0.0,0.0,0.0,0.0,11.43,0.8945606692256735,0.4469465393920342
